iteration,reward_mean,length_mean,games,loss
500,-0.89,2.11,9.0,0.10234857350587845
1000,-0.88,2.12,8.0,0.09105660021305084
1500,-1.0,2.0,8.0,0.042848289012908936
2000,-1.0,2.0,8.0,0.03846777230501175
2500,-1.0,2.0,8.0,0.02032097615301609
3000,-1.0,2.0,8.0,0.03765677660703659
3500,-1.0,2.0,9.0,0.03370872139930725
4000,-0.88,2.12,8.0,0.020223725587129593
4500,-1.0,2.0,9.0,0.022877994924783707
5000,-1.0,2.0,8.0,0.0077618686482310295
5500,-0.25,2.0,8.0,0.008397821336984634
6000,-1.0,2.0,8.0,0.022191526368260384
6500,-0.6,2.0,10.0,0.028226323425769806
7000,-0.55,2.0,11.0,0.0065059782937169075
7500,-0.27,2.18,11.0,0.007497609592974186
8000,-0.25,2.0,8.0,0.017917083576321602
8500,-0.25,2.0,8.0,0.020955616608262062
9000,0.0,2.0,8.0,0.008690237998962402
9500,-0.12,2.0,8.0,0.0037941583432257175
10000,0.0,2.12,8.0,0.02096988633275032
10500,0.0,2.0,8.0,0.009960209019482136
11000,0.0,2.12,8.0,0.013887545093894005
11500,0.0,2.0,8.0,0.025477740913629532
12000,-0.38,2.0,8.0,0.006587011273950338
12500,-0.12,2.0,8.0,0.018408743664622307
13000,0.0,2.0,8.0,0.011668919585645199
13500,0.12,2.12,8.0,0.0019844258204102516
14000,0.0,2.12,8.0,0.006712252739816904
14500,0.0,2.12,8.0,0.017154857516288757
15000,-0.22,2.11,9.0,0.009084989316761494
15500,0.12,2.12,8.0,0.018031693994998932
16000,-0.12,2.0,8.0,0.006428140681236982
16500,0.11,2.33,9.0,0.024727225303649902
17000,0.12,2.12,8.0,0.011955110356211662
17500,-0.12,2.12,8.0,0.010367883369326591
18000,0.38,2.5,8.0,0.00795865710824728
18500,0.22,2.44,9.0,0.020130528137087822
19000,-0.12,2.12,8.0,0.0028379333671182394
19500,0.12,2.25,8.0,0.010192916728556156
20000,0.25,2.38,8.0,0.002335131401196122
20500,0.12,2.25,8.0,0.011208043433725834
21000,-0.12,2.12,8.0,0.005629336927086115
21500,0.25,2.25,8.0,0.008069784380495548
22000,0.0,2.0,8.0,0.008561697788536549
22500,0.12,2.12,8.0,0.0052867913618683815
23000,0.3,2.8,10.0,0.01913580298423767
23500,0.5,2.5,8.0,0.01815633289515972
24000,0.12,2.12,8.0,0.011603869497776031
24500,0.12,2.25,8.0,0.013606091029942036
25000,0.12,2.12,8.0,0.007635988760739565
25500,0.5,2.62,8.0,0.007414642721414566
26000,0.38,2.38,8.0,0.015195729210972786
26500,0.38,2.62,8.0,0.005697120912373066
27000,1.0,3.33,9.0,0.0057574487291276455
27500,0.62,2.62,8.0,0.01994752697646618
28000,0.5,2.62,8.0,0.051033247262239456
28500,0.38,2.5,8.0,0.040794163942337036
29000,0.75,3.25,8.0,0.00878525897860527
29500,1.27,3.91,11.0,0.05846882238984108
30000,1.25,3.83,12.0,0.020296726375818253
30500,1.11,3.56,9.0,0.02815481275320053
31000,3.25,6.25,8.0,0.02449585497379303
31500,2.0,4.64,11.0,0.012892489321529865
32000,1.75,4.75,8.0,0.010870049707591534
32500,3.62,6.62,8.0,0.02892128936946392
33000,4.0,7.0,8.0,0.03796057403087616
33500,3.0,6.0,8.0,0.07181932032108307
34000,4.25,7.25,8.0,0.016281798481941223
34500,5.38,8.38,8.0,0.01979612000286579
35000,2.38,5.38,8.0,0.027489636093378067
35500,4.12,7.12,8.0,0.03468640521168709
36000,4.0,7.0,8.0,0.019738391041755676
